Unigram Top 50,Unigram Bottom 50,Bigram Top 50,Bigram Bottom 50
an,içişleri,milletlerarası,füg
ân,usul,içindekiler,o
ak,dövüş,şekillendirmek,ab
ek,tövbe,çırçır,fob
o,amfi,cesaretlendirmek,od
ab,fanus,telaşlandırmak,of
et,sitil,çalkalamak,uf
ad,aval,kaçırılmak,flu
ana,dükkân,karmakarışık,eh
ay,dükkan,çırılçıplak,ad
ata,deni,çırçıplak,duo
aba,malumatfuruş,karşılamak,düo
ama,istihkak,sallandırmak,us
amma,muvakkat,karıştıracak,af
ey,beraet,salamandra,püf
ada,cimnastik,karşılıklı,üs
aya,tercüman,çalakalem,dü
ara,sükût,takımadalar,ip
im,sukut,terelelli,ev
ebe,kâfi,karaçalı,pöf
ait,meşakkat,neşelendirmek,ekzos
aid,sükûn,yaralamak,oy
el,özalp,harmanlamak,is
nan,göğüsleme,çerçeve,üslup
ah,pöf,tekrarlama,puf
eğik,öhö,tırmalamak,ot
ala,önsöz,karşılama,golf
kan,lokal,sarmalamak,sulh
eğe,öpücük,sırılsıklam,pof
ege,özbeöz,çıldırmak,kov
eti,golf,içerlemek,hol
eğit,kâşif,yarılamak,ah
kak,mösyö,kırılacak,tüh
and,şoför,kahramanlar,ez
ant,sükûnet,treyler,uz
tan,kâtip,çaldıran,öd
ağ,topyekûn,çamaşırcı,ud
ağa,figan,karalama,ut
ağı,üslup,aralamak,kod
eh,belagat,alevlendirmek,alp
kat,kâbus,birileri,pus
tak,övgü,dillendirme,agop
kağan,yağsız,saçmalamak,lut
kaan,güzergâh,tartaklamak,kof
akan,fellah,onurlandırmak,kuğu
kana,mükâfat,çekilir,küf
anka,meskûn,çengellemek,fos
ini,göğüs,çariçe,fao
emi,tabiatıyla,çarçur,avut
eğim,tövbekâr,oralar,aut
